name,Team_y,Position_y,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,TOI_x,TOI_dec,CLAUSE,EXPIRY,CAPHIT,CAP HIT %,cap_hit_perc,SALARY,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Zemgus Girgensons,BUF,C,Left,68,12,7,19,0.28,-1,85,0.14,13:47,13.78333333,,UFA,"$1,600,000",2.00%,0.02,"$1,600,000",41.77,41.89,40.84,10,11,13,110,71,20
Zack Smith,CHI,C,Left,50,4,7,11,0.22,2,43,0.09,11:47,11.78333333,M-NTC,UFA,"$3,250,000",4.50%,0.045,"$3,250,000",42.62,41.46,39.88,29,14,21,112,71,18
Zack Kassian,EDM,W,Right,59,15,19,34,0.58,0,99,0.15,15:39,15.65,,UFA,"$1,950,000",2.60%,0.026,"$2,000,000",49.1,49.47,47.26,69,45,26,157,54,8
Zach Parise,MIN,W,Left,69,25,21,46,0.67,-11,155,0.16,17:11,17.18333333,NMC,UFA,"$7,538,461",12.60%,0.126,"$9,000,000",52.74,52.41,57.12,8,22,21,27,60,38
Zach Hyman,TOR,W,Right,51,21,16,37,0.73,13,106,0.2,19:05,19.08333333,M-NTC,UFA,"$2,250,000",3.00%,0.03,"$2,500,000",50.48,50.23,53.2,23,16,32,52,101,23
Zach Bogosian,"BUF, T.B",D,Right,27,1,6,7,0.26,0,29,0.03,16:37,16.61666667,,UFA,"$5,142,857",1.60%,0.016,"$6,000,000",43.86,43.21,40.15,22,11,4,30,21,27
Zach Bogosian,"BUF, T.B",D,Right,27,1,6,7,0.26,0,29,0.03,16:37,16.61666667,,UFA,"$1,300,000",1.60%,0.016,"$1,300,000",43.86,43.21,40.15,22,11,4,30,21,27
Zach Aston-Reese,PIT,C,Left,57,6,7,13,0.23,6,98,0.06,14:25,14.41666667,,RFA,"$1,000,000",1.20%,0.012,"$1,000,000",47.63,47.36,48.82,28,21,20,136,99,30
Yanni Gourde,T.B,C,Left,70,10,20,30,0.43,-5,110,0.09,14:03,14.05,NTC,UFA,"$5,166,666",6.50%,0.065,"$6,300,000",51.83,51.49,51.9,49,14,48,78,114,20
William Nylander,TOR,W,Right,68,31,28,59,0.87,-2,197,0.16,18:12,18.2,,UFA,"$6,962,366",8.80%,0.088,"$9,000,000",59.67,58.4,58.37,12,41,42,9,66,14
William Karlsson,VGK,C,Left,63,15,31,46,0.73,11,138,0.11,18:51,18.85,,UFA,"$5,900,000",7.20%,0.072,"$5,900,000",55.02,55.56,53.24,16,37,54,40,94,38
William Carrier,VGK,W,Left,70,7,12,19,0.27,0,99,0.07,9:52,9.866666667,,RFA,"$725,000",0.90%,0.009,"$725,000",53.63,54.34,55.36,39,8,22,213,129,11
Will Butcher,N.J,D,Left,55,4,17,21,0.38,-8,62,0.06,17:55,17.91666667,,UFA,"$3,733,333",4.60%,0.046,"$3,500,000",48.73,49.86,50.07,6,27,10,31,54,75
Wayne Simmonds,"BUF, N.J",W,Right,68,8,17,25,0.37,-21,119,0.07,14:55,14.91666667,M-NTC,UFA,"$5,000,000",6.10%,0.061,"$5,000,000",53.22,53.71,56.37,66,18,27,145,63,29
Vladislav Namestnikov,"COL, NYR, OTT",W,Left,65,17,14,31,0.48,-5,98,0.17,15:03,15.05,,UFA,"$4,000,000",5.00%,0.05,"$4,000,000",45.3,45.6,50.39,45,28,25,108,74,47
Vladislav Kamenev,COL,C,Left,38,1,7,8,0.21,-2,32,0.03,8:58,8.966666667,,RFA,"$750,000",0.90%,0.009,"$750,000",52.77,53.13,52.78,8,7,18,34,21,16
Vladimir Tarasenko,STL,W,Left,10,3,7,10,1,-2,26,0.12,16:10,16.16666667,NTC,UFA,"$7,500,000",10.50%,0.105,"$9,500,000",55.56,56.52,46.21,0,5,3,17,4,7
Vladimir Sobotka,BUF,C,Left,16,1,2,3,0.19,2,23,0.04,14:15,14.25,,UFA,"$3,500,000",4.80%,0.048,"$3,000,000",38.38,37.95,31.23,4,3,3,26,18,7
Vinnie Hinostroza,ARI,W,Right,69,5,17,22,0.32,1,132,0.04,13:06,13.1,,UFANo QO,"$1,500,000",2.00%,0.02,"$1,500,000",47.96,47.47,46.42,14,20,30,51,94,26
Vincent Trocheck,"CAR, FLA",C,Right,62,11,27,38,0.61,-8,141,0.08,16:43,16.71666667,,UFA,"$4,750,000",6.50%,0.065,"$5,250,000",55.78,55.48,53.81,49,64,51,101,96,37
Viktor Arvidsson,NSH,W,Right,57,15,13,28,0.49,-4,127,0.12,16:12,16.2,,UFA,"$4,250,000",5.70%,0.057,"$4,250,000",56.04,55.43,53.86,26,24,15,27,88,24
Victor Rask,MIN,C,Left,43,5,8,13,0.3,7,38,0.13,10:28,10.46666667,,UFA,"$4,000,000",5.50%,0.055,"$4,000,000",53.72,53.53,54.66,6,5,13,26,22,8
Victor Hedman,T.B,D,Left,66,11,44,55,0.83,27,155,0.07,24:03:00,24.05,NMC,UFA,"$7,875,000",10.80%,0.108,"$8,000,000",53.36,53.8,55.24,31,40,47,73,73,98
Valeri Nichushkin,COL,W,Left,64,13,14,27,0.42,26,113,0.12,14:04,14.06666667,,RFA,"$2,950,000",1.00%,0.01,"$3,200,000",57.28,56.86,61.11,14,18,38,84,55,22
Valeri Nichushkin,COL,W,Left,64,13,14,27,0.42,26,113,0.12,14:04,14.06666667,,RFA,"$850,000",1.00%,0.01,"$850,000",57.28,56.86,61.11,14,18,38,84,55,22
Tyson Barrie,TOR,D,Right,70,5,34,39,0.56,-7,169,0.03,21:52,21.86666667,,UFA,"$5,500,000",7.50%,0.075,"$6,000,000",57.14,55.6,54.25,16,62,16,47,118,76
Tyler Toffoli,"L.A, VAN",W,Right,68,24,20,44,0.65,-1,203,0.12,16:50,16.83333333,,UFA,"$4,600,000",6.30%,0.063,"$4,800,000",59.22,58.76,55.32,20,34,35,48,65,16
Tyler Seguin,DAL,C,Right,69,17,33,50,0.72,-2,245,0.07,19:08,19.13333333,NMC,UFA,"$9,850,000",12.40%,0.124,"$13,500,000",53.58,53.34,56.71,22,52,34,90,31,31
Tyler Pitlick,PHI,C,Right,63,8,12,20,0.32,11,76,0.11,12:02,12.03333333,,UFA,"$1,000,000",1.30%,0.013,"$1,000,000",43.81,44.78,44.79,12,15,28,132,110,42
Tyler Myers,VAN,D,Right,68,6,15,21,0.31,-7,134,0.04,21:30,21.5,NMC,UFA,"$6,000,000",7.40%,0.074,"$7,000,000",48.66,49.16,47.07,49,41,42,99,79,108
Tyler Motte,VAN,C,Left,33,4,4,8,0.24,-10,38,0.11,13:07,13.11666667,,RFA,"$975,000",1.20%,0.012,"$975,000",35.93,37.89,33.25,10,9,16,118,37,37
Tyler Johnson,T.B,C,Right,65,14,17,31,0.48,9,113,0.12,14:32,14.53333333,NTC,UFA,"$5,000,000",6.70%,0.067,"$5,500,000",54.72,55.09,55.85,16,20,14,62,43,22
Tyler Ennis,"EDM, OTT",W,Left,70,16,21,37,0.53,-6,159,0.1,14:42,14.7,,UFA,"$800,000",1.00%,0.01,"$800,000",55.04,54.12,58.12,20,19,26,96,110,26
Tyler Bozak,STL,C,Right,67,13,16,29,0.43,0,109,0.12,15:19,15.31666667,M-NTC,UFA,"$5,000,000",6.30%,0.063,"$5,250,000",51.15,50.41,51.77,10,20,29,32,43,33
Tyler Bertuzzi,DET,W,Left,71,21,27,48,0.68,-23,129,0.16,19:18,19.3,,RFA,"$1,400,000",1.80%,0.018,"$1,400,000",54.79,53.97,50.62,40,57,25,71,80,30
Tucker Poolman,WPG,D,Right,57,4,12,16,0.28,-1,64,0.06,17:26,17.43333333,,UFA,"$775,000",1.00%,0.01,"$825,000",45.53,43.99,40.25,24,46,14,58,79,59
Troy Stecher,VAN,D,Right,68,5,12,17,0.25,10,86,0.06,15:20,15.33333333,,UFANo QO,"$2,325,000",2.90%,0.029,"$2,325,000",47.32,47.97,43.94,32,25,16,69,118,70
Troy Brouwer,STL,W,Right,13,1,0,1,0.08,1,12,0.08,9:28,9.466666667,M-NTC,UFA,"$4,500,000",0.90%,0.009,"$4,500,000",42.41,42.26,40.4,7,2,1,24,8,6
Troy Brouwer,STL,W,Right,13,1,0,1,0.08,1,12,0.08,9:28,9.466666667,,UFA,"$750,000",0.90%,0.009,"$750,000",42.41,42.26,40.4,7,2,1,24,8,6
Trevor van Riemsdyk,CAR,D,Right,50,1,7,8,0.16,-7,58,0.02,14:51,14.85,,UFA,"$2,300,000",2.90%,0.029,"$2,500,000",50.83,49.54,49.23,10,17,13,21,33,37
Trevor Moore,"L.A, TOR",C,Left,42,6,4,10,0.24,-4,60,0.1,12:54,12.9,,RFA,"$775,000",1.00%,0.01,"$750,000",46.15,45.38,44.99,6,20,21,60,56,17
