name,TEAM,Position_y,AGE,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,CLAUSE,EXPIRY,CAP HIT,cap_hit_perc,SALARY,TOI_dec,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Tyler Motte,VAN,C,25,Left,34,4,4,8,0.24,-10,38,0.11,,UFA,"$1,225,000",0.015,"$1,000,000",13.12,35.93,37.89,33.25,10,9,16,118,37,37
Micheal Haley,OTT,C,34,Left,22,1,0,1,0.05,-7,9,0.11,,UFA,"$700,000",0.009,"$700,000",5.53,36.6,38.51,35.31,50,5,1,36,12,6
Logan Shaw,OTT,R,27,Right,35,3,2,5,0.14,0,20,0.15,,UFA,"$725,000",0.009,"$700,000",6.82,37.3,39.03,34.97,0,5,2,24,23,13
Joakim Nordstrom,CGY,C,28,Left,48,4,3,7,0.15,-6,49,0.08,,UFA,"$700,000",0.009,"$700,000",12.1,37.55,37.76,33.22,17,10,12,91,55,31
Greg McKegg,BOS,C,28,Left,53,5,4,9,0.17,-2,40,0.13,,UFA,"$700,000",0.009,"$700,000",9.56,37.58,39.04,39.1,17,13,14,69,50,24
Kevin Rooney,NYR,C,27,Left,49,4,5,9,0.18,8,59,0.07,,UFA,"$750,000",0.009,"$700,000",11.73,38.02,39.14,37.92,20,13,17,64,66,32
John Hayden,ARI,C,25,Right,43,3,1,4,0.09,-2,39,0.08,,RFA,"$750,000",0.009,"$750,000",9.72,38.35,38.67,35.2,77,7,13,87,40,27
Christopher Tanev,CGY,D,30,Right,69,2,18,20,0.29,4,45,0.04,M-NTC,UFA,"$4,500,000",0.055,"$3,500,000",19.53,38.53,39.94,39.26,41,45,20,32,140,159
Derek Grant,ANA,C,30,Left,56,15,10,25,0.45,1,94,0.16,,UFA,"$1,500,000",0.018,"$1,250,000",13.91,39.28,40.09,41.91,30,11,20,54,53,25
Nathan Beaulieu,WPG,D,27,Left,38,1,7,8,0.21,15,38,0.03,,UFA,"$1,250,000",0.015,"$1,250,000",17,39.5,40.57,36.66,29,23,6,62,34,47
Joseph Blandisi,MTL,C,25,Left,21,2,3,5,0.24,-3,12,0.17,,RFA,"$700,000",0.009,"$700,000",8.21,39.7,39.5,41.76,10,1,8,26,21,9
Mark Borowiecki,NSH,D,30,Left,53,7,11,18,0.34,1,63,0.11,,UFA,"$2,000,000",0.025,"$2,000,000",17.94,39.73,42.48,43,58,30,10,199,84,120
Mark Jankowski,PIT,C,25,Left,56,5,2,7,0.13,-12,38,0.13,,RFA,"$700,000",0.009,"$700,000",11.1,41.49,40.88,39.76,14,20,32,14,32,33
Anthony Bitetto,NYR,D,29,Left,51,0,8,8,0.16,3,54,0,,UFA,"$737,500",0.009,"$725,000",15.16,41.54,41.96,37.33,32,22,16,145,68,50
