Year,Player,Salary
2011,Charles Johnson,"$34,000,000"
2011,Sam Bradford,"$26,845,000"
2011,Peyton Manning,"$26,400,000"
2011,Ndamukong Suh,"$25,784,706"
2011,Darrelle Revis,"$25,000,000"
2011,Logan Mankins,"$21,500,000"
2011,Jon Beason,"$21,040,000"
2011,DeAngelo Williams,"$20,500,000"
2011,Adrian Peterson,"$20,500,000"
2011,Haloti Ngata,"$20,100,000"
2011,Larry Fitzgerald,"$20,000,000"
2011,Michael Vick,"$20,000,000"
2011,Tom Brady,"$19,750,000"
2011,Elvis Dumervil,"$19,615,000"
2011,Eric Berry,"$19,263,500"
2011,Joe Thomas,"$19,100,000"
2011,Ryan Kalil,"$19,000,000"
2011,LaMarr Woodley,"$18,100,000"
2011,Johnathan Joseph,"$18,000,000"
2011,Darnell Dockett,"$17,600,000"
2011,Russell Okung,"$16,600,000"
2011,Jason Witten,"$16,391,000"
2011,Rolando McClain,"$16,255,000"
2011,Tamba Hali,"$15,823,530"
2011,Brandon Marshall,"$15,200,000"
2011,Richard Seymour,"$15,000,000"
2011,Cam Newton,"$14,893,544"
2011,Mark Sanchez,"$14,725,000"
2011,Von Miller,"$14,148,004"
2011,Leon Hall,"$14,037,500"
2011,Chad Greenway,"$14,000,000"
2011,Eric Weddle,"$14,000,000"
2011,Troy Polamalu,"$14,000,000"
2011,Mario Williams,"$13,800,000"
2011,Marcell Dareus,"$13,716,672"
2011,Trent Williams,"$13,406,435"
2011,Ryan Fitzpatrick,"$13,220,000"
2011,A.J. Green,"$13,193,620"
2011,Quintin Mikell,"$13,000,000"
2011,Justin Blalock,"$13,000,000"
2011,Chris Johnson,"$13,000,000"
2011,Matt Cassel,"$12,500,000"
2011,Barry Cofield,"$12,500,000"
2011,Paul Soliai,"$12,476,000"
2011,Andrew Whitworth,"$12,390,000"
2011,Patrick Peterson,"$12,278,272"
2011,Marshal Yanda,"$12,000,000"
2011,Lawrence Timmons,"$12,000,000"
2011,Kevin Kolb,"$12,000,000"
2011,Nick Mangold,"$11,985,000"
2011,Julius Peppers,"$11,700,000"
2011,Jay Ratliff,"$11,625,000"
2011,Ben Roethlisberger,"$11,600,000"
2011,Chris Long,"$11,482,500"
2011,Brandon Graham,"$11,470,000"
2011,Vincent Jackson,"$11,424,000"
2011,Dwight Freeney,"$11,420,000"
2011,Calvin Johnson,"$11,375,000"
2011,Matt Ryan,"$11,250,000"
2011,Darren McFadden,"$11,200,667"
2011,Jake Long,"$11,200,000"
2011,Gerald McCoy,"$11,148,750"
2011,Brandon Flowers,"$11,000,000"
2011,Paul Posluszny,"$11,000,000"
2011,Doug Free,"$11,000,000"
2011,Champ Bailey,"$11,000,000"
2011,A.J. Hawk,"$10,950,000"
2011,Julio Jones,"$10,660,000"
