Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Tampa Bay Lightning,2020,23,16,7,0,0,4,0.696,75,45,30
2,Montreal Canadiens,2020,22,13,9,0,6,1,0.591,51,54,-3
3,New York Islanders,2020,19,11,8,0,4,1,0.579,54,53,1
4,Vegas Golden Knights,2020,19,10,9,0,2,4,0.526,53,46,7
5,Colorado Avalanche,2020,10,6,4,0,1,1,0.6,38,27,11
6,Boston Bruins,2020,11,6,5,0,3,2,0.545,33,32,1
7,Carolina Hurricanes,2020,11,5,6,0,3,2,0.455,31,30,1
8,Winnipeg Jets,2020,8,4,4,0,3,1,0.5,20,22,-2
9,Minnesota Wild,2020,7,3,4,0,1,0,0.429,13,20,-7
10,Toronto Maple Leafs,2020,7,3,4,0,0,2,0.429,18,14,4
11,Florida Panthers,2020,6,2,4,0,1,0,0.333,17,24,-7
12,Pittsburgh Penguins,2020,6,2,4,0,0,2,0.333,16,21,-5
13,Nashville Predators,2020,6,2,4,0,2,2,0.333,16,22,-6
14,Washington Capitals,2020,5,1,4,0,1,2,0.2,10,16,-6
15,St. Louis Blues,2020,4,0,4,0,0,0,0,7,20,-13
16,Edmonton Oilers,2020,4,0,4,0,0,3,0,8,14,-6
