Year,Player,Salary
2011,Alex Ovechkin,"$9,000,000"
2011,Evgeni Malkin,"$9,000,000"
2011,Sidney Crosby,"$9,000,000"
2011,Eric Staal,"$7,500,000"
2011,Brad Richards,"$7,800,000"
2011,Rick Nash,"$7,500,000"
2011,Vincent Lecavalier,"$10,000,000"
2011,Zdeno Chara,"$7,500,000"
2011,Dany Heatley,"$8,000,000"
2011,Marián Gáborík,"$7,500,000"
2011,Scott Gomez,"$8,000,000"
2011,Joe Thornton,"$7,200,000"
2011,Brian Campbell,"$7,142,875"
2011,Thomas Vanek,"$6,400,000"
2011,Chris Drury,"$8,000,000"
2011,Jarome Iginla,"$7,000,000"
2011,Jason Spezza,"$8,000,000"
2011,Patrick Marleau,"$6,900,000"
2011,Henrik Lundqvist,"$7,750,000"
2011,Anze Kopitar,"$6,000,000"
2011,Pavel Datsyuk,"$6,700,000"
2011,Nicklas Bäckström,"$6,000,000"
2011,Jay Bouwmeester,"$6,600,000"
2011,Dan Boyle,"$6,666,666"
2011,Ilya Kovalchuk,"$6,000,000"
2011,Paul Stastny,"$6,600,000"
2011,Ed Jovanovski,"$6,000,000"
2011,Wade Redden,"$6,500,000"
2011,Dion Phaneuf,"$7,000,000"
2011,Daniel Brière,"$7,000,000"
2011,Kimmo Timonen,"$7,000,000"
2011,Cam Ward,"$5,000,000"
2011,Jonathan Toews,"$6,500,000"
2011,Patrick Kane,"$6,500,000"
2011,Ryan Smyth,"$5,500,000"
2011,Ryan Miller,"$6,250,000"
2011,Nicklas Lidström,"$6,200,000"
2011,Daniel Sedin,"$6,100,000"
2011,Henrik Sedin,"$6,100,000"
2011,Henrik Zetterberg,"$7,750,000"
2011,Brian Rafalski,"$6,000,000"
2011,Jean-Sebastien Giguere,"$7,000,000"
2011,Mike Cammalleri,"$5,000,000"
2011,Patrik Elias,"$5,000,000"
2011,Niklas Bäckström,"$6,000,000"
2011,Alexander Semin,"$6,000,000"
2011,Miikka Kiprusoff,"$7,000,000"
2011,Bryan McCabe,"$4,150,000"
2011,Mike Richards,"$6,400,000"
2011,Andrei Markov,"$5,750,000"
2011,Tomas Vokoun,"$6,300,000"
2011,Cristobal Huet,"$5,625,000"
2011,Lubomir Visnovsky,"$6,000,000"
2011,Duncan Keith,"$8,000,000"
2011,Sergei Gonchar,"$5,500,000"
2011,Shawn Horcoff,"$6,500,000"
2011,Phil Kessel,"$6,000,000"
2011,Sheldon Souray,"$4,500,000"
2011,Roberto Luongo,"$10,000,000"
2011,Corey Perry,"$5,375,000"
2011,Ryan Getzlaf,"$5,125,000"
2011,Jason Pominville,"$5,500,000"
2011,Marián Hossa,"$7,900,000"
2011,Simon Gagne,"$5,250,000"
2011,Mike Green,"$5,000,000"
2011,Martin St. Louis,"$4,000,000"
2011,Martin Brodeur,"$5,200,000"
2011,Bobby Ryan,"$3,250,000"
2011,Brian Rolston,"$5,000,000"
2011,Tim Thomas,"$6,000,000"
2011,Alexei Kovalev,"$5,000,000"
2011,Marc-André Fleury,"$5,500,000"
2011,Paul Martin,"$5,500,000"
2011,Brian Gionta,"$5,000,000"
2011,Tomas Plekanec,"$5,000,000"
2011,Mike Ribeiro,"$5,000,000"
2011,Michal Rozsíval,"$4,000,000"
2011,Jeff Carter,"$5,500,000"
2011,Ryan Kesler,"$5,000,000"
2011,Chris Pronger,"$7,600,000"
2011,Michael Nylander,"$3,000,000"
2011,Daniel Alfredsson,"$7,000,000"
2011,Patrice Bergeron,"$5,750,000"
2011,Andy McDonald,"$5,200,000"
2011,Shane Doan,"$4,550,000"
2011,Ryan Malone,"$6,000,000"
2011,Tim Connolly,"$4,500,000"
2011,Jason Arnott,"$4,500,000"
2011,Ron Hainsey,"$5,000,000"
2011,Shea Weber,"$4,500,000"
2011,Scott Hannan,"$4,500,000"
2011,Dan Hamhuis,"$5,000,000"
2011,Martin Erat,"$5,250,000"
2011,Jonas Hiller,"$4,500,000"
2011,Rick DiPietro,"$4,500,000"
2011,David Legwand,"$4,500,000"
2011,Milan Michalek,"$4,250,000"
2011,Mike Komisarek,"$5,500,000"
2011,Dustin Penner,"$4,250,000"
2011,Tomas Kaberle,"$4,250,000"
2011,Martin Havlat,"$5,000,000"
2011,Loui Eriksson,"$3,200,000"
2011,Anton Volchenkov,"$4,250,000"
2011,Joffrey Lupul,"$4,250,000"
2011,David Booth,"$3,750,000"
2011,Ilya Bryzgalov,"$4,500,000"
2011,Eric Brewer,"$4,500,000"
2011,John-Michael Liles,"$4,425,000"
2011,Mike Fisher,"$4,000,000"
2011,Scott Hartnell,"$4,200,000"
2011,Mark Streit,"$4,100,000"
2011,Ales Hemsky,"$4,500,000"
2011,Brenden Morrow,"$4,100,000"
2011,Milan Lucic,"$4,000,000"
2011,Pierre-Marc Bouchard,"$4,250,000"
2011,Nikolai Antropov,"$3,750,000"
2011,Marc Savard,"$7,000,000"
2011,Robyn Regehr,"$4,000,000"
2011,Jean-Pierre Dumont,"$4,000,000"
2011,Jason Blake,"$3,000,000"
2011,Ryan Whitney,"$4,500,000"
2011,Michal Handzus,"$4,000,000"
2011,Joni Pitkanen,"$4,500,000"
2011,Michael Ryder,"$4,000,000"
2011,Andrej Meszaros,"$4,000,000"
2011,Jordan Staal,"$3,500,000"
2011,Tom Gilbert,"$5,500,000"
2011,Joe Pavelski,"$4,000,000"
2011,Brad Boyes,"$4,500,000"
2011,Derek Roy,"$4,000,000"
2011,Marek Zidlicky,"$4,000,000"
2011,Zbynek Michalek,"$4,000,000"
2011,Nathan Horton,"$4,000,000"
2011,Marc Staal,"$3,100,000"
2011,Johan Franzen,"$5,000,000"
2011,Dennis Wideman,"$4,000,000"
2011,Patrick Sharp,"$4,100,000"
2011,Travis Zajac,"$3,500,000"
2011,Sean Avery,"$4,000,000"
2011,Pavel Kubina,"$4,200,000"
2011,Jaroslav Spacek,"$3,833,333"
2011,Pascal Leclaire,"$4,800,000"
2011,Wojtek Wolski,"$3,600,000"
2011,Tuomo Ruutu,"$4,000,000"
2011,Francois Beauchemin,"$3,550,000"
2011,Nikolai Khabibulin,"$3,750,000"
2011,Steve Sullivan,"$3,750,000"
2011,Jaroslav Halák,"$2,750,000"
2011,David Krejci,"$3,750,000"
2011,Brad Stuart,"$3,750,000"
2011,R.J. Umberger,"$4,000,000"
2011,Kevin Bieksa,"$3,500,000"
2011,Brooks Orpik,"$3,750,000"
2011,Mike Commodore,"$3,800,000"
2011,Antoine Vermette,"$3,750,000"
2011,Toby Enström,"$3,500,000"
2011,Chris Kunitz,"$3,800,000"
2011,Filip Kuba,"$3,700,000"
2011,Ryane Clowe,"$3,500,000"
2011,Barret Jackman,"$4,000,000"
2011,Mattias Ohlund,"$4,000,000"
