Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Tampa Bay Lightning,2019,25,18,7,0,7,2,0.72,78,57,21
2,Dallas Stars,2019,27,15,12,0,6,1,0.556,78,82,-4
3,New York Islanders,2019,22,13,9,0,2,4,0.591,66,51,15
4,Vegas Golden Knights,2019,20,12,8,0,2,2,0.6,57,44,13
5,Philadelphia Flyers,2019,16,10,6,0,3,0,0.625,38,40,-2
6,Vancouver Canucks,2019,17,10,7,0,2,1,0.588,48,45,3
7,Colorado Avalanche,2019,15,9,6,0,0,2,0.6,60,41,19
8,Montreal Canadiens,2019,10,5,5,0,1,0,0.5,23,19,4
9,Calgary Flames,2019,10,5,5,0,0,1,0.5,33,27,6
10,Boston Bruins,2019,13,5,8,0,1,2,0.385,29,39,-10
11,Carolina Hurricanes,2019,8,4,4,0,0,1,0.5,22,19,3
12,Arizona Coyotes,2019,9,4,5,0,1,0,0.444,22,33,-11
13,Chicago Blackhawks,2019,9,4,5,0,0,1,0.444,27,30,-3
14,Columbus Blue Jackets,2019,10,4,6,0,1,3,0.4,24,24,0
15,Toronto Maple Leafs,2019,5,2,3,0,1,1,0.4,10,12,-2
16,Washington Capitals,2019,8,2,6,0,0,2,0.25,13,24,-11
17,St. Louis Blues,2019,9,2,7,0,1,2,0.222,22,32,-10
18,Nashville Predators,2019,4,1,3,0,0,1,0.25,11,14,-3
19,Winnipeg Jets,2019,4,1,3,0,0,0,0.25,6,16,-10
20,Minnesota Wild,2019,4,1,3,0,0,1,0.25,10,12,-2
21,Florida Panthers,2019,4,1,3,0,0,0,0.25,7,13,-6
22,Edmonton Oilers,2019,4,1,3,0,0,0,0.25,15,16,-1
23,Pittsburgh Penguins,2019,4,1,3,0,0,1,0.25,8,10,-2
24,New York Rangers,2019,3,0,3,0,0,0,0,4,11,-7
